Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %
JKTYRE,JK TYRE AND INDUSTRIES LIMITED,INE573A01042,4,298.03,411.75,- 4.40,1192.12,1647,0,454.88,38.16
HYUMOT,HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,7,1960,2018,+ 1.17,13720,14126,0,406,2.96
NAGCON,NCC LIMITED,INE868B01028,2,246.3,144.28,- 3.49,492.6,288.56,0,-204.04,(41.42)
LGELEC,LG ELECTRONICS INDIA LTD,INE324D01010,13,1140,1562,- 0.95,14820,20306,0,5486,37.02
BHAELE,BHARAT ELECTRONICS LTD,INE263A01024,5,450.62,439.4,- 3.12,2253.1,2197,0,-56.1,(2.49)
PARDEF,PARAS DEFENCE AND SPACE TECH,INE045601023,4,727.67,638.95,- 4.46,2910.68,2555.8,0,-354.88,(12.19)
NDTV,NEW DELHI TELEVISION LIMITED,INE155G01029,10,127.94,76.43,- 0.91,1279.4,764.3,0,-515.1,(40.26)
AERIND,AEROFLEX INDUSTRIES LIMITED,INE024001021,3,205.56,234.19,- 1.24,616.68,702.57,0,85.89,13.93
WAAENE,WAAREE ENERGIES LIMITED,INE377N01017,2,2636.58,2726.6,- 0.47,5273.16,5453.2,0,180.04,3.41
NTPC,NTPC LIMITED,INE733E01010,12,438.5,384.45,- 1.56,5262,4613.4,0,-648.6,(12.33)
